D_Predict,DTA,Nightly_Price
16,72,"6,000"
17,72,"1,016"
18,72,680
19,72,680
20,72,680
21,72,895
22,72,895
23,72,902
24,72,0
25,72,0
26,72,0
27,72,"1,125"
28,72,845
29,72,845
30,72,634
1,75,745
2,75,645
3,75,824
4,75,845
5,75,680
6,75,680
7,75,845
8,75,845
9,75,595
10,75,549
11,75,591
12,75,680
13,75,745
14,75,902
15,75,"1,595"
16,75,"6,000"
17,75,"1,016"
18,75,680
19,75,680
20,75,680
21,75,895
22,75,895
23,75,902
24,75,0
25,75,0
26,75,0
27,75,985
28,75,845
29,75,845
30,75,634
1,78,745
2,78,645
3,78,824
4,78,845
5,78,680
6,78,680
7,78,845
8,78,845
9,78,595
10,78,549
11,78,591
12,78,680
13,78,902
14,78,902
15,78,"1,595"
16,78,"6,000"
17,78,"1,016"
18,78,680
19,78,680
20,78,680
21,78,895
22,78,895
23,78,902
24,78,0
25,78,0
26,78,0
27,78,985
28,78,845
29,78,845
30,78,634
1,81,745
2,81,645
3,81,824
4,81,845
5,81,680
6,81,680
7,81,902
8,81,902
9,81,595
10,81,549
11,81,591
12,81,680
13,81,902
14,81,902
15,81,"1,595"
16,81,"6,000"
17,81,"1,016"
18,81,680
19,81,680
20,81,680
21,81,895
22,81,895
23,81,902
24,81,0
25,81,0
26,81,0
27,81,634
28,81,719
29,81,761
30,81,634
1,84,745
2,84,645
3,84,824
4,84,845
5,84,680
6,84,680
7,84,902
8,84,902
9,84,595
10,84,549
11,84,591
12,84,680
13,84,902
14,84,902
15,84,"1,595"
16,84,"1,595"
17,84,"1,016"
18,84,680
19,84,680
20,84,680
21,84,895
22,84,895
23,84,902
24,84,0
25,84,0
26,84,0
27,84,634
28,84,719
29,84,761
30,84,634
1,87,"1,156"
2,87,645
3,87,824
4,87,845
5,87,680
6,87,680
7,87,"1,256"
8,87,"1,125"
9,87,595
10,87,549
11,87,591
12,87,680
13,87,745
14,87,845
15,87,"1,595"
16,87,"1,595"
17,87,"1,016"
18,87,680
19,87,680
20,87,680
21,87,895
22,87,895
23,87,902
24,87,0
25,87,0
26,87,0
27,87,634
28,87,719
29,87,761
30,87,634
1,90,745
2,90,645
3,90,824
4,90,845
5,90,680
6,90,680
7,90,"1,256"
8,90,"1,125"
9,90,595
10,90,549
11,90,591
12,90,745
13,90,745
14,90,845
15,90,"1,595"
16,90,"1,595"
17,90,"1,016"
18,90,680
19,90,680
20,90,680
21,90,895
22,90,895
23,90,902
24,90,0
25,90,0
26,90,0
27,90,634
28,90,719
29,90,761
30,90,634
1,93,745
2,93,645
3,93,824
4,93,845
5,93,680
6,93,680
7,93,"1,256"
8,93,"1,125"
9,93,595
10,93,549
11,93,591
12,93,745
13,93,745
14,93,845
15,93,"1,595"
16,93,"1,595"
17,93,"1,016"
18,93,680
19,93,680
20,93,680
21,93,895
22,93,895
23,93,902
24,93,0
25,93,0
26,93,0
27,93,634
28,93,719
29,93,761
30,93,634
1,96,745
2,96,645
3,96,824
4,96,845
5,96,680
6,96,680
7,96,"1,256"
8,96,"1,125"
9,96,595
10,96,549
11,96,591
12,96,745
13,96,745
14,96,845
15,96,"1,595"
16,96,"1,595"
17,96,"1,016"
18,96,680
19,96,680
20,96,680
21,96,895
22,96,895
23,96,902
24,96,0
25,96,0
26,96,0
27,96,634
28,96,719
29,96,761
30,96,634
1,99,745
2,99,745
3,99,824
4,99,845
5,99,680
6,99,680
7,99,"1,256"
8,99,"1,125"
9,99,595
10,99,549
11,99,591
12,99,745
13,99,745
14,99,845
15,99,"1,595"
16,99,"1,595"
17,99,"1,016"
18,99,680
19,99,680
20,99,680
21,99,895
22,99,895
23,99,902
24,99,0
25,99,0
26,99,0
27,99,634
28,99,719
29,99,761
30,99,634
