Day,Date,Channel,Rosewood Sand Hill,Garden Court Hotel,Nobu Hotel Epiphany Palo Alto,Stanford Park Hotel,Westin Palo Alto,Pullman San Francisco Bay
Fri,7/5/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,7/6/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,7/6/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,7/7/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,7/7/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,7/8/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,7/8/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,7/9/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,7/9/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,7/10/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,7/10/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,7/11/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,7/11/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,7/12/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,7/12/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,7/13/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,7/13/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,7/14/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,7/14/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,7/15/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,7/15/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,7/16/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,7/16/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,7/17/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,7/17/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,7/18/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,7/18/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,7/19/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,7/19/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,7/20/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,7/20/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,7/21/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,7/21/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,7/22/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,7/22/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,7/23/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,7/23/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,7/24/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,7/24/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,7/25/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,7/25/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,7/26/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,7/26/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,7/27/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,7/27/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,7/28/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,7/28/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,7/29/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,7/29/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,7/30/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,7/30/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,7/31/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,7/31/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,8/1/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,8/1/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,8/2/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,8/2/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,8/3/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,8/3/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,8/4/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,8/4/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,8/5/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,8/5/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,8/6/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,8/6/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,8/7/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,8/7/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,8/8/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,8/8/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,8/9/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,8/9/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,8/10/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,8/10/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,8/11/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,8/11/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,8/12/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,8/12/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,8/13/2019,Brand.com,No data,No data,No data,No data,No data,No data
Tue,8/13/2019,Booking.com,No data,No data,No data,No data,No data,No data
Wed,8/14/2019,Brand.com,No data,No data,No data,No data,No data,No data
Wed,8/14/2019,Booking.com,No data,No data,No data,No data,No data,No data
Thu,8/15/2019,Brand.com,No data,No data,No data,No data,No data,No data
Thu,8/15/2019,Booking.com,No data,No data,No data,No data,No data,No data
Fri,8/16/2019,Brand.com,No data,No data,No data,No data,No data,No data
Fri,8/16/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sat,8/17/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sat,8/17/2019,Booking.com,No data,No data,No data,No data,No data,No data
Sun,8/18/2019,Brand.com,No data,No data,No data,No data,No data,No data
Sun,8/18/2019,Booking.com,No data,No data,No data,No data,No data,No data
Mon,8/19/2019,Brand.com,No data,No data,No data,No data,No data,No data
Mon,8/19/2019,Booking.com,No data,No data,No data,No data,No data,No data
Tue,8/20/2019,Brand.com,No data,No data,No data,No data,No data,No data
