Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los1;﻿Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los3
Sat;3/16/2019;Booking.com;465;309;359;179;157;125;1;Sat;3/16/2019;Booking.com;592;542;736;376;374;230;3
Sat;3/16/2019;Expedia;465;263;359;179;157;125;1;Sat;3/16/2019;Brand.com;625;"No data";532;351;"No data";243;3
Sat;3/16/2019;Expedia;465;263;359;179;157;125;1;Sat;3/16/2019;Booking.com;592;542;736;376;374;230;3
Sat;3/16/2019;GDS;465;309;249;179;157;132;1;Sat;3/16/2019;Brand.com;625;"No data";532;351;"No data";243;3
Sat;3/16/2019;GDS;465;309;249;179;157;132;1;Sat;3/16/2019;Booking.com;592;542;736;376;374;230;3
Sun;3/17/2019;Brand.com;535;529;499;344;"No data";218;1;Sun;3/17/2019;Brand.com;1,005;"No data";782;494;"No data";334;3
Sun;3/17/2019;Brand.com;535;529;499;344;"No data";218;1;Sun;3/17/2019;Booking.com;"Sold out";729;982;519;527;300;3
Sun;3/17/2019;Booking.com;535;529;699;369;297;206;1;Sun;3/17/2019;Brand.com;1,005;"No data";782;494;"No data";334;3
Sun;3/17/2019;Booking.com;535;529;699;369;297;206;1;Sun;3/17/2019;Booking.com;"Sold out";729;982;519;527;300;3
Sun;3/17/2019;Expedia;535;450;699;369;271;206;1;Sun;3/17/2019;Brand.com;1,005;"No data";782;494;"No data";334;3
Sun;3/17/2019;Expedia;535;450;699;369;271;206;1;Sun;3/17/2019;Booking.com;"Sold out";729;982;519;527;300;3
Sun;3/17/2019;GDS;535;529;499;369;271;218;1;Sun;3/17/2019;Brand.com;1,005;"No data";782;494;"No data";334;3
Sun;3/17/2019;GDS;535;529;499;369;271;218;1;Sun;3/17/2019;Booking.com;"Sold out";729;982;519;527;300;3
Mon;3/18/2019;Brand.com;805;749;849;554;"No data";398;1;Mon;3/18/2019;Brand.com;1,095;"No data";899;574;"No data";389;3
Mon;3/18/2019;Brand.com;805;749;849;554;"No data";398;1;Mon;3/18/2019;Booking.com;"Sold out";842;999;599;755;341;3
Mon;3/18/2019;Booking.com;775;749;949;579;755;341;1;Mon;3/18/2019;Brand.com;1,095;"No data";899;574;"No data";389;3
Mon;3/18/2019;Booking.com;775;749;949;579;755;341;1;Mon;3/18/2019;Booking.com;"Sold out";842;999;599;755;341;3
Mon;3/18/2019;Expedia;805;637;949;579;925;341;1;Mon;3/18/2019;Brand.com;1,095;"No data";899;574;"No data";389;3
Mon;3/18/2019;Expedia;805;637;949;579;925;341;1;Mon;3/18/2019;Booking.com;"Sold out";842;999;599;755;341;3
Mon;3/18/2019;GDS;840;749;849;579;616;398;1;Mon;3/18/2019;Brand.com;1,095;"No data";899;574;"No data";389;3
Mon;3/18/2019;GDS;840;749;849;579;616;398;1;Mon;3/18/2019;Booking.com;"Sold out";842;999;599;755;341;3
Tue;3/19/2019;Brand.com;"Sold out";889;LOS3;624;"No data";398;1;Tue;3/19/2019;Brand.com;1,065;"No data";849;547;"No data";325;3
Tue;3/19/2019;Brand.com;"Sold out";889;LOS3;624;"No data";398;1;Tue;3/19/2019;Booking.com;"Sold out";809;982;572;690;300;3
Tue;3/19/2019;Booking.com;"Sold out";889;LOS3;649;925;341;1;Tue;3/19/2019;Brand.com;1,065;"No data";849;547;"No data";325;3
Tue;3/19/2019;Booking.com;"Sold out";889;LOS3;649;925;341;1;Tue;3/19/2019;Booking.com;"Sold out";809;982;572;690;300;3
Tue;3/19/2019;Expedia;"Sold out";756;"Sold out";649;642;341;1;Tue;3/19/2019;Brand.com;1,065;"No data";849;547;"No data";325;3
Tue;3/19/2019;Expedia;"Sold out";756;"Sold out";649;642;341;1;Tue;3/19/2019;Booking.com;"Sold out";809;982;572;690;300;3
Tue;3/19/2019;GDS;"Sold out";889;"Sold out";649;642;398;1;Tue;3/19/2019;Brand.com;1,065;"No data";849;547;"No data";325;3
Tue;3/19/2019;GDS;"Sold out";889;"Sold out";649;642;398;1;Tue;3/19/2019;Booking.com;"Sold out";809;982;572;690;300;3
Wed;3/20/2019;Brand.com;895;889;LOS3;624;"No data";370;1;Wed;3/20/2019;Brand.com;417;"No data";599;404;"No data";231;3
Wed;3/20/2019;Brand.com;895;889;LOS3;624;"No data";370;1;Wed;3/20/2019;Booking.com;712;622;609;429;417;227;3
Wed;3/20/2019;Booking.com;915;889;LOS3;649;755;341;1;Wed;3/20/2019;Brand.com;417;"No data";599;404;"No data";231;3
Wed;3/20/2019;Booking.com;915;889;LOS3;649;755;341;1;Wed;3/20/2019;Booking.com;712;622;609;429;417;227;3
Wed;3/20/2019;Expedia;895;756;"Sold out";649;755;341;1;Wed;3/20/2019;Brand.com;417;"No data";599;404;"No data";231;3
Wed;3/20/2019;Expedia;895;756;"Sold out";649;755;341;1;Wed;3/20/2019;Booking.com;712;622;609;429;417;227;3
Wed;3/20/2019;GDS;895;889;"Sold out";649;616;370;1;Wed;3/20/2019;Brand.com;417;"No data";599;404;"No data";231;3
Wed;3/20/2019;GDS;895;889;"Sold out";649;616;370;1;Wed;3/20/2019;Booking.com;712;622;609;429;417;227;3
Thu;3/21/2019;Brand.com;655;649;699;474;"No data";206;1;Thu;3/21/2019;Brand.com;"Sold out";"No data";359;261;"No data";138;3
Thu;3/21/2019;Brand.com;655;649;699;474;"No data";206;1;Thu;3/21/2019;Booking.com;"Sold out";436;479;286;280;138;3
Thu;3/21/2019;Booking.com;655;649;699;499;450;206;1;Thu;3/21/2019;Brand.com;"Sold out";"No data";359;261;"No data";138;3
Thu;3/21/2019;Booking.com;655;649;699;499;450;206;1;Thu;3/21/2019;Booking.com;"Sold out";436;479;286;280;138;3
Thu;3/21/2019;Expedia;655;552;699;499;441;206;1;Thu;3/21/2019;Brand.com;"Sold out";"No data";359;261;"No data";138;3
Thu;3/21/2019;Expedia;655;552;699;499;441;206;1;Thu;3/21/2019;Booking.com;"Sold out";436;479;286;280;138;3
Thu;3/21/2019;GDS;655;649;699;499;441;206;1;Thu;3/21/2019;Brand.com;"Sold out";"No data";359;261;"No data";138;3
Thu;3/21/2019;GDS;655;649;699;499;441;206;1;Thu;3/21/2019;Booking.com;"Sold out";436;479;286;280;138;3
Fri;3/22/2019;Brand.com;465;329;249;154;"No data";116;1;Fri;3/22/2019;Brand.com;"Sold out";"No data";"Sold out";231;"No data";118;3
Fri;3/22/2019;Brand.com;465;329;249;154;"No data";116;1;Fri;3/22/2019;Booking.com;"Sold out";402;"Sold out";256;285;118;3
Fri;3/22/2019;Booking.com;465;329;379;179;186;116;1;Fri;3/22/2019;Brand.com;"Sold out";"No data";"Sold out";231;"No data";118;3
Fri;3/22/2019;Booking.com;465;329;379;179;186;116;1;Fri;3/22/2019;Booking.com;"Sold out";402;"Sold out";256;285;118;3
Fri;3/22/2019;Expedia;465;280;379;179;186;116;1;Fri;3/22/2019;Brand.com;"Sold out";"No data";"Sold out";231;"No data";118;3
Fri;3/22/2019;Expedia;465;280;379;179;186;116;1;Fri;3/22/2019;Booking.com;"Sold out";402;"Sold out";256;285;118;3
Fri;3/22/2019;GDS;465;329;249;179;186;116;1;Fri;3/22/2019;Brand.com;"Sold out";"No data";"Sold out";231;"No data";118;3
Fri;3/22/2019;GDS;465;329;249;179;186;116;1;Fri;3/22/2019;Booking.com;"Sold out";402;"Sold out";256;285;118;3
Sat;3/23/2019;Brand.com;"Sold out";309;399;154;"No data";116;1;Sat;3/23/2019;Brand.com;"Sold out";"No data";"Sold out";374;"No data";181;3
